B (Tesla) ,P
0 ,0
0.012099515 ,19.93044099
0.014189511 ,26.02908713
0.015730536999999999 ,35.14744175
0.017603144000000001 ,43.41913423
0.020260426000000002 ,57.98090959
0.023318839000000001 ,74.05684692
0.025610171000000001 ,97.7998445
0.030033915000000001 ,135.0314038
0.033609234000000002 ,186.4366973
0.038321845 ,238.1286195
0.042483719000000003 ,321.5484177
0.047988784999999999 ,415.2957512
0.055232931999999998 ,548.4416576
0.060660176000000003 ,700.5040137
0.067881329000000004 ,894.7275729
0.077399494999999999 ,1194.798548
0.091623766999999995 ,1668.100537
