Source,Magnitude,Phase
Coil1_CapsTop15:1,0.0124696326829914 *input_scale,-31.3404056315101deg
Coil1_CapsBottom15:1,0.0127376468272715*input_scale,149.639295183032deg
Coil1_CapsTop14:1,0.0162527703012174*input_scale,-12.0105235070312deg
Coil1_CapsBottom14:1,0.0164238261583313*input_scale,168.549321442549deg
Coil1_CapsTop13:1,0.0180266558657849*input_scale,3.5745409016993deg
Coil1_CapsBottom13:1,0.018006095432156*input_scale,-175.898648787812deg
Coil1_CapsTop12:1,0.0167526622855182*input_scale,18.5561889609049deg
Coil1_CapsBottom12:1,0.0176827821240558*input_scale,-165.463768671191deg
Coil1_CapsTop11:1,0.013189331464699*input_scale,37.0885973842352deg
Coil1_CapsBottom11:1,0.0129853735215474*input_scale,-142.148174118308deg
Coil1_CapsTop10:1,0.00979067667677012*input_scale,61.1296280341487deg
Coil1_CapsBottom10:1,0.00961992537269027*input_scale,-117.751554339887deg
Coil1_CapsTop9:1,0.00824139312647014*input_scale,91.3500561100966deg
Coil1_CapsBottom9:1,0.00818774801124229*input_scale,-86.9626512140594deg
Coil1_CapsTop8:1,0.00916977974403788*input_scale,121.956044229575deg
Coil1_CapsBottom8:1,0.00835912342021394*input_scale,-70.0580964296075deg
Coil1_CapsTop7:1,0.0124866133247082*input_scale,148.706638730128deg
Coil1_CapsBottom7:1,0.0127524079084863*input_scale,-30.3915742296892deg
Coil1_CapsTop6:1,0.0162746642002824*input_scale,168.019270731734deg
Coil1_CapsBottom6:1,0.0164255066655576*input_scale,-11.467175096976deg
Coil1_CapsTop5:1,0.0180580321526163*input_scale,-176.41155036748deg
Coil1_CapsBottom5:1,0.017996497725591*input_scale,4.0718280654006deg
Coil1_CapsTop4:1,0.016796773590912*input_scale,-161.438300207893deg
Coil1_CapsBottom4:1,0.0176883998866581*input_scale,14.5182338859894deg
Coil1_CapsTop3:1,0.0132276703245821*input_scale,-142.946919272368deg
Coil1_CapsBottom3:1,0.0129799648280332*input_scale,37.8149343262187deg
Coil1_CapsTop2:1,0.00983959483021342*input_scale,-119.054099389422deg
Coil1_CapsBottom2:1,0.00962770177135464*input_scale,62.0890946432335deg
Coil1_CapsTop1:1,0.00826345987340634*input_scale,-88.8617489892124deg
Coil1_CapsBottom1:1,0.00818356421427699*input_scale,92.922783075457deg
Coil1_CapsTop:1,0.00917194459141144*input_scale,-58.1666660046978deg
Coil1_CapsBottom:1,0.00835657756692324*input_scale,109.910359633416deg
Coil1_p4:1,0.0025*input_scale,90deg
Coil1_p3:1,0.0025*input_scale,180deg
Coil1_p2:1,0.0025*input_scale,-90deg
Coil1_p1:1,0.0025*input_scale,0deg
