Snapshot_files;tbumper;thood
snapshot1.bin;3.0000000000000000e+00;1.0000000000000000e+00
snapshot2.bin;2.3027070822925761e+00;1.9733140995220380e+00
snapshot3.bin;4.9794495824782281e+00;3.2108731960993495e+00
snapshot4.bin;3.1805664240638296e+00;4.0186522400777305e+00
snapshot5.bin;1.3636878424813044e+00;2.8519214010688545e+00
snapshot6.bin;3.3918342829418875e+00;1.9893132690860682e+00
snapshot7.bin;3.7747459454006256e+00;4.9895403207991409e+00
snapshot8.bin;4.9999682635583369e+00;1.4033361419257779e+00
snapshot9.bin;3.7298368726098459e+00;3.0924999346515771e+00
snapshot10.bin;1.8022321767761107e+00;1.0568187635089721e+00
snapshot11.bin;2.1285270745068168e+00;4.0326807064334140e+00
snapshot12.bin;2.4561236927148702e+00;3.0044940105299478e+00
snapshot13.bin;2.6801524054208894e+00;4.9666503475190957e+00
snapshot14.bin;4.2792483426979055e+00;3.9812037285192221e+00
snapshot15.bin;1.2550472974026443e+00;4.9479222052180702e+00
snapshot16.bin;4.8850248597940276e+00;4.9348212737187769e+00
snapshot17.bin;4.0406442741026929e+00;1.0000331573050520e+00
snapshot18.bin;1.0870903257643052e+00;3.8673958958949952e+00
snapshot19.bin;4.4604775552868858e+00;2.2933524626797457e+00
snapshot20.bin;1.0648950043455321e+00;1.7959317483407193e+00
